Sex,Length,Diameter,Height,Weight
1,1.6125,1.2,0.475,38.8671645
1,1.475,1.0375,0.375,24.96173475
0,1.6625,1.3375,0.3875,39.2073585
1,1.8,1.45,0.4875,59.6189985
0,1.275,0.9875,0.3125,16.45688475
1,1.5125,1.125,0.4875,31.127751
1,1.425,1.1,0.35,27.03124825
0,1.4125,1.0875,0.375,28.066005
0,1.35,1.0375,0.3625,20.97863
1,1.3625,1.0375,0.5,38.498621
1,1.525,1.1875,0.375,31.56716825
1,1.3,1.0625,0.375,23.0481435
1,1.775,1.3875,0.425,41.673765
1,1.225,0.95,0.3875,16.386011
0,1.5,1.025,0.3625,26.6201805
0,1.55,1.275,0.4375,45.7844425
0,1.1875,0.9625,0.3,15.932419
0,1.6375,1.2875,0.5,38.9238635
0,1.8375,1.475,0.5125,59.1654065
1,1.3375,1.0125,0.3125,26.2799865
1,1.8125,1.325,0.475,49.0871593
0,1.275,0.975,0.3375,21.8007655
0,1.4375,1.0875,0.3375,28.122704
1,1.4875,1.175,0.3875,31.7797895
1,1.4375,1.1125,0.3375,25.0326085
0,1.475,1.1,0.375,27.08794725
1,1.2875,1.0625,0.35,21.715717
1,1.5875,1.1875,0.375,33.57998275
0,1.4125,1.175,0.4875,32.375129
1,1.6125,1.275,0.5,44.43784125
1,1.5,1.175,0.475,32.16250775
1,1.5125,1.2,0.35,28.0943545
1,1.55,1.1875,0.4,37.54891275
1,1.1125,0.8375,0.275,12.34620725
1,1.7375,1.375,0.4625,47.5988105
0,1.425,1.15,0.3875,28.36367475
1,1.5625,1.225,0.275,32.205032
0,1.45,1.125,0.3625,28.42037375
0,1.3,1.0,0.3,23.3316385
0,1.6,1.4625,0.4875,46.6916265
0,1.4875,1.15,0.3875,29.199985
0,1.2,0.9125,0.325,15.03940975
1,1.1625,0.8875,0.2875,13.33843975
1,1.0625,0.875,0.25,12.54465375
0,1.4375,1.1875,0.4,31.581343
0,0.875,0.6625,0.225,5.5848515
1,1.6,1.25,0.425,43.02036625
0,1.425,1.1375,0.3875,23.586784
0,1.3375,1.1,0.375,19.17843675
0,1.3,1.0,0.3,16.44271
0,1.375,1.025,0.3125,21.55979475
1,1.375,1.1,0.3875,26.818627
0,1.5625,1.2375,0.4375,35.550273
1,1.45,1.15,0.3,28.16522825
1,1.1875,0.95,0.35,19.5328055
0,1.6,1.325,0.4125,33.72173025
0,1.525,1.125,0.375,24.6924145
1,1.4875,1.2,0.5,27.6407625
0,1.5375,1.2375,0.5,36.967748
1,1.1,0.85,0.25,12.7856245
0,1.7125,1.275,0.4125,43.7999775
0,1.7375,1.3625,0.4625,44.55123925
1,1.6625,1.425,0.4625,43.147939
