Sex,Length,Diameter,Height,SWeight
0,1.725,1.325,0.475,19.220961
0,1.4875,1.1875,0.35,13.96212875
1,1.45,1.1375,0.425,10.602713
1,1.2375,0.9625,0.3375,8.51902475
0,1.35,1.0375,0.3625,7.47009325
1,1.5125,1.125,0.4875,13.6361095
0,1.6625,1.3125,0.3875,15.09610875
1,1.625,1.2625,0.4125,16.23008875
0,1.375,1.0875,0.3625,9.298636
0,1.675,1.25,0.475,17.463292
0,1.1,0.8,0.3,6.90310325
1,1.4625,1.15,0.375,14.2597985
0,1.5875,1.3125,0.4625,19.391058
0,1.15,0.85,0.3375,4.69184225
0,1.5,1.025,0.3625,12.68640125
0,1.4625,1.225,0.4625,14.798439
1,1.175,0.9125,0.2625,4.6209685
0,1.2625,0.9625,0.275,9.02931575
0,1.8375,1.475,0.5125,25.7696955
1,1.3375,1.0125,0.3125,7.37087
1,1.5375,1.1375,0.3625,14.30232275
0,1.3375,1.0375,0.3375,8.97261675
0,1.2125,0.925,0.3875,11.8784405
1,1.275,0.9375,0.275,8.12213175
0,1.525,0.9125,0.3875,13.834556
0,1.475,1.1,0.375,10.375917
1,1.6,1.3125,0.4375,18.313777
0,1.4125,1.075,0.375,12.03436275
1,1.375,1.1,0.375,8.91591775
1,0.95,0.8125,0.275,3.40194
1,1.6875,1.325,0.4375,19.20678625
0,1.6375,1.3625,0.475,17.93105875
1,1.175,0.8875,0.45,4.32329875
1,1.475,1.1875,0.3875,10.5176645
1,1.3625,1.1125,0.4375,9.82310175
1,1.5625,1.25,0.4125,16.2442635
0,1.3125,1,0.325,7.52679225
0,1.575,1.2875,0.4375,13.947954
0,1.175,0.925,0.3375,6.293589
0,1.65,1.2625,0.5,13.79203175
1,1.2625,1.025,0.3375,8.2497045
1,1.4375,1.15,0.4125,13.65028425
1,1.4375,1.15,0.475,11.113004
1,1.625,1.225,0.3875,15.4504775
0,1.8625,1.4625,0.5375,26.26581175
0,1.525,1.2,0.425,12.94154675
0,1.5375,1.175,0.375,14.10387625
0,1.2375,0.9625,0.3375,5.9817445
0,1.3375,1.1,0.375,7.257472
1,1.5,1.2125,0.3625,10.04989775
0,1.5625,1.2625,0.4375,15.37960375
0,1.3625,1.125,0.375,9.53960675
0,1.25,0.9625,0.3375,9.05766525
1,1.5375,1.3,0.375,17.8318355
0,1.5625,1.2,0.3625,13.16834275
